item_id,index_name,index_description,index_publication_date,index_application_period,expiration_time,index_application_deadline,index_execution_timeframe,index_place_of_execution,awarded_number,awarded_name,awarded_place_of_execution,awarded_execution_timeframe,awarded_application_period,awarded_opening_date,awarded_period,awarded_bidders_request,action_number,action_name,contracting_authority_name,contracting_authority_address,contracting_authority_email,brief_description
401446,1-2352-9400-027-1 Schreinerarbeiten Allgemein,Landkreis Augsburg,05.08.2022,"Aug 5, 2022 until Sep 26, 2022","Sep 26, 2022, 9:00 AM",,02.02.2023 until 27.09.2024,86356 Neusäß,1-2352-9400-027-1,Schreinerarbeiten Allgemein,86356 Neus\xc3\xa4\xc3\x9f,02.02.2023 until 27.09.2024,"Aug 5, 2022 until Sep 26, 2022","Sep 26, 2022, 9:00 AM","Oct 26, 2022","Sep 19, 2022, 9:00 AM",1-2352,Generalsanierung des Justus-von-Liebig-Gymnasiums Neus\xc3\xa4\xc3\x9f,Landkreis Augsburg,Prinzregentenplatz 4\n86150 Augsburg,vergabenbauwesen@lra-a.bayern.de,"Schulgeb\xc3\xa4ude: - HPL Fensterb\xc3\xa4nke mit Br\xc3\xbcstungsplatte ca. 839 lfm - Waschtische in den WC Anlagen ca. 12 St\xc3\xbcck - Wandverkleidungen an einzelnen Waschbecken ca. 15 St\xc3\xbcck - Sitzstufenanlage im Parlamentshof - Podestkonstruktionen ca. 3,40x7,60 m - Treppenanlagen mit 2-4 Steigungen 3 St\xc3\xbcck Sporthalle mit Mensa: - Fenstereinfassungen ca. 147 lfm - Waschtische in den WC Anlagen ca. 2 St\xc3\xbcck"
401445,A0249900814 Tischlerarbeiten_Innenausbau,Die Autobahn GmbH des Bundes - Niederlassung Nordbayern,05.08.2022,"Aug 5, 2022 until Sep 1, 2022","Sep 1, 2022, 9:20 AM",,09.01.2023 until 27.01.2023,90475 Nürnberg,A0249900814,Tischlerarbeiten_Innenausbau,90475 N\xc3\xbcrnberg,09.01.2023 until 27.01.2023,"Aug 5, 2022 until Sep 1, 2022","Sep 1, 2022, 9:20 AM","Sep 30, 2022","Aug 31, 2022, 9:20 AM",A-02499-00,VBZ Dienstgeb\xc3\xa4ude Energetische Sanierung,Die Autobahn GmbH des Bundes - Niederlassung Nordbayern,Flaschenhofstra\xc3\x9fe 55\n90402 N\xc3\xbcrnberg,Vergabestelle@nby.autobahn.de,There is no further information avaiable.
401444,2022-427 Tief- und Straßenbauarbeiten,"Stadt Ulm, Zentrale Vergabestelle VOB",05.08.2022,"Aug 5, 2022 until Sep 1, 2022","Sep 1, 2022, 11:00 AM",,04.10.2022 until 31.10.2022,89073 Ulm,2022-427,Tief- und Stra\xc3\x9fenbauarbeiten,89073 Ulm,04.10.2022 until 31.10.2022,"Aug 5, 2022 until Sep 1, 2022","Sep 1, 2022, 11:00 AM","Oct 1, 2022","Aug 25, 2022, 4:00 PM",2022VGV-10,Neubau Radweg Kienlesbergstra\xc3\x9fe,"Stadt Ulm, Zentrale Vergabestelle VOB",M\xc3\xbcnchner Str. 1\n89073 Ulm,vergabe-zvob@ulm.de,Neubau eines Radweges n\xc3\xb6rdlich vom Hauptbahnhof Ulm vom M\xc3\xa4hringer Weg bis zur Kienlesbergbr\xc3\xbccke.-R\xc3\xbcckbau des St\xc3\xbctzwandkopfes entlang der Kienlesbergstra\xc3\x9fe bei der Haltestelle Lehrer Tal Steig und Herstellung eines neuen Radweges mit auskragenden Stahlbeton-Fertigteilen.-Herstellung von bis zu 8 m hohen St\xc3\xbctzw\xc3\xa4nden unter der westlichen Rampe der Wallstra\xc3\x9fenbr\xc3\xbccke (B10).-Herstellung eines Spannbetonbalkens von ca. 22 m L\xc3\xa4nge als \xc3\x9cberbauung einer Ausgrabungsst\xc3\xa4tte an der Kreuzung ?Beim Alten Fritz? zur Verbreiterung des vorhandenen Gehweges mit Verpresspf\xc3\xa4hlen als Gr\xc3\xbcndung und R\xc3\xbcckverankerung.-Felssicherung mit Felsankern und Spritzbetonverkleidung im Bereich der Ausgrabungsst\xc3\xa4tte.-Erdauff\xc3\xbcllungen und B\xc3\xb6schungsabflachungen im Bereich der Wallstra\xc3\x9fenbr\xc3\xbccke-Gel\xc3\xa4nderbau
401440,"322063 Patchen SM Güstrow, Bergen u. Grimmen",Straßenbauamt Stralsund,05.08.2022,"Aug 5, 2022 until Aug 18, 2022","Aug 18, 2022, 10:00 AM",,12.09.2022 until 30.09.2022,18439 Stralsund,322063,"Patchen SM G\xc3\xbcstrow, Bergen u. Grimmen",18439 Stralsund,12.09.2022 until 30.09.2022,"Aug 5, 2022 until Aug 18, 2022","Aug 18, 2022, 10:00 AM","Sep 2, 2022","Aug 15, 2022, 11:00 AM",10000,L U/I Fahrbahnprofilierung,Stra\xc3\x9fenbauamt Stralsund,Greifswalder Chaussee 63b\n18439 Stralsund,vergabe-sba-hst@sbv.mv-regierung.de,There is no further information avaiable.
401439,"S22A46 Winterdienst im Bereich der SM Riem, Route Riem 3",Staatliches Bauamt Freising,05.08.2022,"Aug 5, 2022 until Aug 30, 2022","Aug 30, 2022, 9:00 AM",,01.11.2023 until 15.11.2027,81829 München,S22A46,"Winterdienst im Bereich der SM Riem, Route Riem 3",81829 M\xc3\xbcnchen,01.11.2023 until 15.11.2027,"Aug 5, 2022 until Aug 30, 2022",,"Sep 30, 2022",Date was hidden by the authority,S_22,Stra\xc3\x9fen- und Br\xc3\xbcckenbau im Staatl. Bauamt Freising,Staatliches Bauamt Freising,Am Staudengarten 2 a\n85354 Freising,vergabe@stbafs.bayern.de,There is no further information avaiable.
401422,22 E 095 manuelle Winterdienstleistungen 2022-2026 im Stadtgebiet Regensburg,Stadt Regensburg,05.08.2022,"Aug 7, 2022 until Sep 5, 2022","Sep 5, 2022, 11:59 PM",,01.11.2022 until 31.03.2024 mit Verlängerungsoptionen bis spätestens 31.03.2026,93047 Regensburg,22 E 095,manuelle Winterdienstleistungen 2022-2026 im Stadtgebiet Regensburg,93047 Regensburg,01.11.2022 until 31.03.2024 mit Verl\xc3\xa4ngerungsoptionen bis sp\xc3\xa4testens 31.03.2026,"Aug 7, 2022 until Sep 5, 2022",,"Nov 4, 2022","Sep 5, 2022, 4:00 PM",2022.2,Dienstleistungen 2022,Stadt Regensburg,D.-Martin-Luther-Stra\xc3\x9fe 3\n93047 Regensburg,vergabestelle@regensburg.de,Die Stadt Regensburg vergibt manuelle Winterdienstleistungen im Stadtgebiet Regensburg f\xc3\xbcr die folgenden Zeitr\xc3\xa4ume:01.11.2022-31.03.202301.11.2023-31.03.202401.11.2024-31.03.202501.11.2025-31.03.2026F\xc3\xbcr die winterdienstliche Betreuung sind neun genau festgelegte Strecken vorgeben (9 Lose).
401421,04-2022-ZVS-OV-II C D Ergebnis- und Wirkungsmonitoring für die Bildungsberatung und das Jobcoaching und weitere arbeitsmarktliche Förderinstrumente,"Senatsverwaltung für Integration, Arbeit und Soziales",05.08.2022,"Aug 7, 2022 until Sep 9, 2022","Sep 9, 2022, 10:00 AM",,not specified,10969 Berlin,04-2022-ZVS-OV-II C D,Ergebnis- und Wirkungsmonitoring f\xc3\xbcr die Bildungsberatung und das Jobcoaching und weitere arbeitsmarktliche F\xc3\xb6rderinstrumente,10969 Berlin,,"Aug 7, 2022 until Sep 9, 2022",,"Oct 10, 2022","Sep 6, 2022, 10:00 AM",ZVS-Arb-2022,Vergaben f\xc3\xbcr die Abteilung Arbeit,"Senatsverwaltung f\xc3\xbcr Integration, Arbeit und Soziales",Oranienstr. 106\n10969 Berlin,Vergabestelle@SenIAS.berlin.de,"\xc3\x96ffentlich gef\xc3\xb6rderte Beratungs- und Coachingangebote sind ein wichtiger Baustein arbeits- und bildungspolitischer Programme, insbesondere zur Fachkr\xc3\xa4ftesicherung einschlie\xc3\x9flich der Integration von Migranten und anderer Zielgruppen in den Arbeits- und Ausbildungsmarkt. Es ist insofern von Bedeutung zu erfahren, mit welchen Ergebnissen die einzelnen Programme umgesetzt werden und ob die vorher definierten Ziele erreicht worden sind. Um dar\xc3\xbcber fundierte Aussagen treffen zu k\xc3\xb6nnen, ist es erforderlich, erbrachte Leistungen und erzielte Ergebnisse systematisch zu erfassen und zu dokumentieren und entsprechend auszuwerten."
401417,1-2352-9400-031 Metallbauarbeiten,Landkreis Augsburg,05.08.2022,"Aug 5, 2022 until Sep 28, 2022","Sep 28, 2022, 9:00 AM",,13.01.2023 until 18.09.2024,86356 Neusäß,1-2352-9400-031,Metallbauarbeiten,86356 Neus\xc3\xa4\xc3\x9f,13.01.2023 until 18.09.2024,"Aug 5, 2022 until Sep 28, 2022",,"Nov 27, 2022","Sep 21, 2022, 9:00 AM",1-2352,Generalsanierung des Justus-von-Liebig-Gymnasiums Neus\xc3\xa4\xc3\x9f,Landkreis Augsburg,Prinzregentenplatz 4\n86150 Augsburg,vergabenbauwesen@lra-a.bayern.de,Schulgeb\xc3\xa4ude:- ca. 200 lfm Bodenschwellen- ca. 400 lfm Stahlst\xc3\xbctzen als Unterkonstruktion7 St\xc3\xbcck Alu-Glas-T\xc3\xbcrelemente ohne BS Anforderung- 6 St\xc3\xbcck Alu-Glas-T\xc3\xbcrelemente dichtschlie\xc3\x9fend- 3 St\xc3\xbcck Rauchschutz Alu-Glas-T\xc3\xbcrelemente- 8 St\xc3\xbcck T30-RS Alu-Glas-T\xc3\xbcrelemente 1-flg.- 22 St\xc3\xbcck T30-RS Alu-Glas-T\xc3\xbcrelemente 2-flg.- 9 St\xc3\xbcck T60-RS Alu-Glas-T\xc3\xbcrelemente 2-flg.- 8 St\xc3\xbcck F60 Alu-Glas-Fensterelemente- 13 St\xc3\xbcck Feststellanlagen mit Magneten 1-flg.- 36 St\xc3\xbcck Feststellanlagen mit Magneten 2-flg.- 1 St\xc3\xbcck Stahlblecht\xc3\xbcr RS- 12 St\xc3\xbcck T30/ T30RS Stahlblecht\xc3\xbcren- 2 St\xc3\xbcck T60RS Stahlblecht\xc3\xbcren- 11 St\xc3\xbcck Stahlblecht\xc3\xbcren ohne Anforderung- 3 St\xc3\xbcck Stahlblech Au\xc3\x9fent\xc3\xbcrenSporthalle mit Mensa:- ca. 53 lfm Bodenschwellen- 8 St\xc3\xbcck Alu-Glas-Fensterelemente- 4 St\xc3\xbcck Alu-Glas-T\xc3\xbcrelemente ohne BS Anforderung- 4 St\xc3\xbcck Alu-Glas-T\xc3\xbcrelemente dichtschlie\xc3\x9fend- 4 St\xc3\xbcck T30-RS Alu-Glas-T\xc3\xbcrelemente- 3 St\xc3\xbcck Feststellanlagen mit Magneten 1-flg.- 7 St\xc3\xbcck Feststellanlagen mit Magneten 2-flg.
401413,P Ö 0524-22BV1 Austausch von 6 Fahrtreppenanlagen,"Fraport AG, Zentraler Einkauf und Bauvergabe",05.08.2022,"Aug 5, 2022 until Aug 25, 2022, 12:00 PM",,"Aug 25, 2022, 12:00 PM",ca. Anfang November 2022 until ca. Ende April 2023,60549 Frankfurt,P \xc3\x96 0524-22BV1,Austausch von 6 Fahrtreppenanlagen,60549 Frankfurt,ca. Anfang November 2022 until ca. Ende April 2023,"Aug 5, 2022 until Aug 25, 2022, 12:00 PM",,Date was hidden by the authority,"Aug 15, 2022, 12:00 PM",B-002519,Austausch Fahranlagen Terminals,"Fraport AG, Zentraler Einkauf und Bauvergabe",\n60547 Frankfurt / Main,ausschreibung@fraport.de,There is no further information avaiable.
401411,"259213 Erneuerung UF Lesserstraße, Grundinstandsetzung Haltestelle Wandsbek-Gartenstadt und Stützwand Ostpreußenplatz, Projekt Brücken Wandsbek-Gartenstad...",Hamburger Hochbahn AG,05.08.2022,"Aug 3, 2022 until Sep 1, 2022, 12:00 PM",,"Sep 1, 2022, 12:00 PM",02.01.2023 until 28.02.2024,20095 Hamburg,259213,"Erneuerung UF Lesserstra\xc3\x9fe, Grundinstandsetzung Haltestelle Wandsbek-Gartenstadt und St\xc3\xbctzwand Ostpreu\xc3\x9fenplatz, Projekt Br\xc3\xbccken Wandsbek-Gartenstadt\nEU-Ver\xc3\xb6ffentlichung 2022 S150_430404",20095 Hamburg,02.01.2023 until 28.02.2024,"Aug 3, 2022 until Sep 1, 2022, 12:00 PM",,"Jan 13, 2023","Aug 25, 2022, 12:00 PM",P23228,"Br.WK; Bwk.D(013), Br Lesserstra\xc3\x9fe, EN",Hamburger Hochbahn AG,Steinstra\xc3\x9fe 20\n20095 Hamburg,mathias.klatt@hochbahn.de,"Nachweise:Ma\xc3\x9fgeblich sind die Mindestbedingungen, die in der EU-Ver\xc3\xb6ffentlichung unter Punkt III.1.1) bis III.1.3) genannt sind"
401409,"259555 Korrosionsschutz und Massivbau UF Stephanstraße und Voßkuhlen, Projekt Brücken Wandsbek-Gartenstadt
EU-Veröffentlichung 2022 S150_430402",Hamburger Hochbahn AG,05.08.2022,"Aug 3, 2022 until Sep 1, 2022, 12:00 PM",,"Sep 1, 2022, 12:00 PM",02.01.2023 until 25.08.2023,20095 Hamburg,259555,"Korrosionsschutz und Massivbau UF Stephanstra\xc3\x9fe und Vo\xc3\x9fkuhlen, Projekt Br\xc3\xbccken Wandsbek-Gartenstadt\nEU-Ver\xc3\xb6ffentlichung 2022 S150_430402",20095 Hamburg,02.01.2023 until 25.08.2023,"Aug 3, 2022 until Sep 1, 2022, 12:00 PM",,"Jan 13, 2023","Aug 25, 2022, 12:00 PM",P23228,"Br.WK; Bwk.D(013), Br Lesserstra\xc3\x9fe, EN",Hamburger Hochbahn AG,Steinstra\xc3\x9fe 20\n20095 Hamburg,mathias.klatt@hochbahn.de,"Nachweise:Ma\xc3\x9fgeblich sind die Mindestbedingungen, die in der EU-Ver\xc3\xb6ffentlichung unter Punkt III.1.1) bis III.1.3) genannt sind"
401407,"00_45322_078401 B76 Veloroute 10, Gehölzpflege",Landesbetrieb Straßenbau und Verkehr Schleswig-Holstein,05.08.2022,"Aug 5, 2022 until Aug 16, 2022","Aug 16, 2022, 8:45 AM",,01.10.2022 until 14.10.2022,24106 Kiel,00_45322_078401,"B76 Veloroute 10, Geh\xc3\xb6lzpflege",24106 Kiel,01.10.2022 until 14.10.2022,"Aug 5, 2022 until Aug 16, 2022","Aug 16, 2022, 8:45 AM","Sep 15, 2022","Aug 16, 2022, 8:45 AM",B000SH001372,UI Bundesstra\xc3\x9fen,Landesbetrieb Stra\xc3\x9fenbau und Verkehr Schleswig-Holstein,Kieler Stra\xc3\x9fe 19\n24768 Rendsburg,vergaben-vob-sh@gmsh.de,externes Vergabeverfahren (LBV SH)
401406,"259212 Stahlbrückenbau inkl. Korrosionsschutz UF Lesserstraße, Projekt Brücken Wandsbek-Gartenstadt
EU-Veröffentlichung 2022 S150_430403",Hamburger Hochbahn AG,05.08.2022,"Aug 3, 2022 until Sep 1, 2022, 12:00 PM",,"Sep 1, 2022, 12:00 PM",01.03.2023 until 03.12.2023,20095 Hamburg,259212,"Stahlbr\xc3\xbcckenbau inkl. Korrosionsschutz UF Lesserstra\xc3\x9fe, Projekt Br\xc3\xbccken Wandsbek-Gartenstadt\nEU-Ver\xc3\xb6ffentlichung 2022 S150_430403",20095 Hamburg,01.03.2023 until 03.12.2023,"Aug 3, 2022 until Sep 1, 2022, 12:00 PM",,"Jan 13, 2023","Aug 25, 2022, 12:00 PM",P23228,"Br.WK; Bwk.D(013), Br Lesserstra\xc3\x9fe, EN",Hamburger Hochbahn AG,Steinstra\xc3\x9fe 20\n20095 Hamburg,mathias.klatt@hochbahn.de,"Nachweise:Ma\xc3\x9fgeblich sind die Mindestbedingungen, die in der EU-Ver\xc3\xb6ffentlichung unter Punkt III.1.1) bis III.1.3) genannt sind"
401405,22D0245 Fachplanung Elektrotechnik,Staatliches Bauamt Augsburg,05.08.2022,"Aug 7, 2022 until Oct 11, 2022, 8:45 AM",,"Oct 11, 2022, 8:45 AM",not specified,86156 Augsburg,22D0245,Fachplanung Elektrotechnik,86156 Augsburg,,"Aug 7, 2022 until Oct 11, 2022, 8:45 AM",,"Jan 7, 2023","Oct 6, 2022, 8:45 AM",15900 E 0003,"UKA, Sanierung Mittelspannung",Staatliches Bauamt Augsburg,Holbeinstra\xc3\x9fe 10\n86150 Augsburg,vergabe@stbaa.bayern.de,"Im Rahmen dieses Auftrages sollen parallel zur bestehenden Infrastruktur neue Mittelspannungsstationen sowie neue Mittelspannungsringe errichtet werden. Alle \xc3\xb6lgek\xc3\xbchlten oder \xc3\xa4lteren 10kV/0,4kV-Transformatoren, werden aus Gr\xc3\xbcnden der Betriebssicherheit ausgetauscht. Der Umschluss auf die neuen Mittelspannungsstrukturen muss im laufenden Betrieb geschehen. Abschlie\xc3\x9fend werden die alten Mittelspannungsanlagen sowie deren Verkabelung und Trassen r\xc3\xbcckgebaut."
401402,"22A0128G Auslaufbauwerk, Umbau Hochwasserschutz",Staatliches Bau- und Liegenschaftsamt Greifswald,05.08.2022,"Aug 5, 2022 until Aug 25, 2022","Aug 25, 2022, 11:59 PM",,am 05.09.2022 until am 30.11.2022,18445 Kramerhof,22A0128G,"Auslaufbauwerk, Umbau Hochwasserschutz",18445 Kramerhof,am 05.09.2022 until am 30.11.2022,"Aug 5, 2022 until Aug 25, 2022","Aug 26, 2022, 12:00 AM","Sep 23, 2022","Aug 19, 2022, 1:00 PM",31000-C3-0532,1432120062-Kai IH Betonholm u. TW-Leitg,Staatliches Bau- und Liegenschaftsamt Greifswald,Am Gorzberg Haus 8\n17489 Greifswald,zvs@fm.sbl-mv.de,"Ein Teil des Regenwassers aus dem Gebiet der Marinetechnikschule entw\xc3\xa4ssert \xc3\xbcber einen Teich und Rohrleitung DN 800 in den Strelasund. Der Hochwasserschutz wird mit einem 1998 errichteten Schachtbauwerk realsiert, in dem sich eine R\xc3\xbcckschlagklappe und ein Plattenschieber befinden. Die Entw\xc3\xa4sserungsanlage ist zu warten und teilweise umzubauen."
401401,22E0287 Restaurierung Chorbogenaltäre,Staatliches Bauamt Passau,05.08.2022,"Aug 7, 2022 until Sep 6, 2022, 9:00 AM",,"Sep 6, 2022, 9:00 AM",06.03.2023 until 05.04.2024,94501 Aldersbach,22E0287,Restaurierung Chorbogenalt\xc3\xa4re,94501 Aldersbach,06.03.2023 until 05.04.2024,"Aug 7, 2022 until Sep 6, 2022, 9:00 AM",,"Feb 14, 2023","Aug 28, 2022, 9:00 AM",05806 E 0002,Pfarrkirche Aldersbach,Staatliches Bauamt Passau,Am Schanzl 2\n94032 Passau,vergabe@stbapa.bayern.de,Pfarrkirche Aldersbach Restaurierung Chorbogenalt\xc3\xa4re
401400,"2022-440 Tief- und Straßenbau, Rückbau","Stadt Ulm, Zentrale Vergabestelle VOB",05.08.2022,"Aug 5, 2022 until Sep 1, 2022","Sep 1, 2022, 10:00 AM",,03.10.2022 until 30.11.2022,89073 Ulm,2022-440,"Tief- und Stra\xc3\x9fenbau, R\xc3\xbcckbau",89073 Ulm,03.10.2022 until 30.11.2022,"Aug 5, 2022 until Sep 1, 2022","Sep 1, 2022, 10:00 AM","Oct 1, 2022","Aug 25, 2022, 10:00 AM",2022VGVVI-12,Instandsetzung Syrlinsteg Brenzbahn,"Stadt Ulm, Zentrale Vergabestelle VOB",M\xc3\xbcnchner Str. 1\n89073 Ulm,vergabe-zvob@ulm.de,"R\xc3\xbcckbau und Ersatzneubau des \xc3\x9cberbaus vom Syrlinsteg \xc3\xbcber die Brenzbahn nord\xc3\xb6stlich vom Hauptbahnhof Ulm-R\xc3\xbcckbau des bestehenden Steges.-Instandsetzung Unterbauten-Vorbereitung Widerlagerbank f\xc3\xbcr den neuen \xc3\x9cberbau-Fertigung, Lieferung und Einbau des neuen \xc3\x9cberbaus als geschwei\xc3\x9fte Stahlkonstruktion-Belagsarbeiten-Anpassungen am Bestand (z. B. Pflaster- und Asphaltarbeiten, Gel\xc3\xa4nder)"
401397,P Ö 0523-22BV1 Austausch von 3 Aufzugsanlagen,"Fraport AG, Zentraler Einkauf und Bauvergabe",05.08.2022,"Aug 5, 2022 until Aug 25, 2022, 12:00 PM",,"Aug 25, 2022, 12:00 PM",ca. 1. Quartal 2023 until ca. 4. Quartal 2023,60549 Frankfurt,P \xc3\x96 0523-22BV1,Austausch von 3 Aufzugsanlagen,60549 Frankfurt,ca. 1. Quartal 2023 until ca. 4. Quartal 2023,"Aug 5, 2022 until Aug 25, 2022, 12:00 PM",,Date was hidden by the authority,"Aug 15, 2022, 12:00 PM",B-002519,Austausch Fahranlagen Terminals,"Fraport AG, Zentraler Einkauf und Bauvergabe",\n60547 Frankfurt / Main,ausschreibung@fraport.de,There is no further information avaiable.
401396,"22D0604 Projektsteuerungsleistungen für Inbetriebnahme-, Abnahme- und Übergabeprozesse   -Technische Projektsteuerung -",Staatliches Bauamt München 1,05.08.2022,"Aug 7, 2022 until Sep 5, 2022, 11:00 PM",,"Sep 5, 2022, 11:00 PM",not specified,80799 München,22D0604,"Projektsteuerungsleistungen f\xc3\xbcr Inbetriebnahme-, Abnahme- und \xc3\x9cbergabeprozesse   -Technische Projektsteuerung -",80799 M\xc3\xbcnchen,,"Aug 7, 2022 until Sep 5, 2022, 11:00 PM",,"Dec 17, 2022","Aug 30, 2022, 11:00 PM",15248 E 0080,"Neue Pinakothek, M\xc3\xbcnchen",Staatliches Bauamt M\xc3\xbcnchen 1,Peter-Auzinger-Stra\xc3\x9fe 10\n81547 M\xc3\xbcnchen,vergabe@stbam1.bayern.de,"Generalsanierung Neue Pinakothek in M\xc3\xbcnchen, Barer Stra\xc3\x9fe 29:Beauftragt werden sollen Projektsteuerungsleistungen f\xc3\xbcr Inbetriebnahme-, Abnahme- und \xc3\x9cbergabeprozesse auf Grundlage von Heft Nr. 39 der AHO Schriftenreihe  - Leistungen f\xc3\xbcr Inbetriebnahmen - , 1. Auflage Stand 2020 mit projektspezifischem Leistungsbild.Die Kosten f\xc3\xbcr die Sanierung der Neuen Pinakothek betragen ca. 141 Mio. EUR brutto (KG 200-600; Indexstand 4. Q 2018). Die anrechenbaren Kosten (KG 200-600) betragen ca. 120 Mio. EUR netto."
401395,22A0226 Metallbau- und Tischlerarbeiten: Innentüren und elementierte Trennwände,Staatliches Bauamt Nürnberg,05.08.2022,"Aug 5, 2022 until Sep 12, 2022","Sep 13, 2022, 9:00 AM",,19.12.2022 until 23.03.2023,91154 Roth,22A0226,Metallbau- und Tischlerarbeiten: Innent\xc3\xbcren und elementierte Trennw\xc3\xa4nde,91154 Roth,19.12.2022 until 23.03.2023,"Aug 5, 2022 until Sep 12, 2022","Sep 13, 2022, 9:00 AM","Oct 14, 2022","Aug 31, 2022, 10:00 AM",40102 E 0091,Otto- Lilienthal- Kaserne Roth,Staatliches Bauamt N\xc3\xbcrnberg,Zollhof 6\n90443 N\xc3\xbcrnberg,vergabe@stban.bayern.de,"Tischlert\xc3\xbcren Vollspan HPL-Beschichtung o. BS-Anforderung (31 St) und mit BS-Anforderung DS oder DSS (61 St) - Drehfl\xc3\xbcgelt\xc3\xbcre 1.Flg.,1 St Tischlert\xc3\xbcre Strahlenschutz Schiebet\xc3\xbcre,8 St Trennelemente Alu-Glas mit und o. BS-Anforderung,5 St Stahlblecht\xc3\xbcren,T\xc3\xbcrbeschl\xc3\xa4ge, Obent\xc3\xbcrschlie\xc3\x9fer,Elementierte Trennw\xc3\xa4nde f\xc3\xbcr 4 WC-Anlagen und 2 Duschbereiche."
401391,22E0118G Entwässerungskanalarbeiten,Staatliches Bau- und Liegenschaftsamt Greifswald,05.08.2022,"Aug 7, 2022 until Sep 8, 2022","Sep 8, 2022, 11:59 PM",,am 01.11.2022 until am 23.06.2023,17491 Greifswald,22E0118G,Entw\xc3\xa4sserungskanalarbeiten,17491 Greifswald,am 01.11.2022 until am 23.06.2023,"Aug 7, 2022 until Sep 8, 2022",,"Nov 7, 2022","Sep 1, 2022, 3:00 PM",30084-E9-0019,Neubau Forschungsbau Center for CM,Staatliches Bau- und Liegenschaftsamt Greifswald,Am Gorzberg Haus 8\n17489 Greifswald,zvs@fm.sbl-mv.de,"Universit\xc3\xa4tsklinikum, Neubau Forschungsbau Center for CMKanalbau f\xc3\xbcr Regen-und Schmutzentw\xc3\xa4sserung, incl. unterirdischer Regenr\xc3\xbcckhaltung, Durch\xc3\xb6rterungen im Stra\xc3\x9fenk\xc3\xb6rpere, Erdarbeiten f\xc3\xbcr Strom- und Datenkabel"
401390,TK 02092022-0900 Wegesanierung,Bezirksamt Treptow-Köpenick von Berlin,05.08.2022,"Aug 5, 2022 until Sep 2, 2022","Sep 2, 2022, 9:00 AM",,03.10.2022 until 28.04.2023,12487 Berlin- Johannisthal und Adlershof,TK 02092022-0900,Wegesanierung,12487 Berlin- Johannisthal und Adlershof,03.10.2022 until 28.04.2023,"Aug 5, 2022 until Sep 2, 2022","Sep 2, 2022, 9:00 AM","Oct 3, 2022","Aug 30, 2022, 9:00 AM",M 076,Landschafts- und Erholungspark Adlershof,Bezirksamt Treptow-K\xc3\xb6penick von Berlin,PF 910240\n12414 Berlin,vergabe-batk@vergabeberlin.de,There is no further information avaiable.
401388,22-415-T-44-01 Abbau Feinsedimenthalde,Wasserwirtschaftsamt Weilheim,05.08.2022,"Aug 5, 2022 until Sep 7, 2022","Sep 7, 2022, 9:00 AM",,04.10.2022 until 30.11.2022,83661 Lenggries,22-415-T-44-01,Abbau Feinsedimenthalde,83661 Lenggries,04.10.2022 until 30.11.2022,"Aug 5, 2022 until Sep 7, 2022","Sep 7, 2022, 9:00 AM","Sep 30, 2022","Sep 2, 2022, 9:00 AM",22-415-T-44,"Unterhaltung Gew. I, Isarvorsperre",Wasserwirtschaftsamt Weilheim,P\xc3\xbctrichstra\xc3\x9fe 15\n82362 Weilheim i. OB,vergabekoordination@wwa-wm.bayern.de,There is no further information avaiable.
401387,VM_22215_VOB_O_Schu KKE 32013 Erweiterte Rohbauarbeiten RA1,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",05.08.2022,"Aug 7, 2022 until Sep 7, 2022","Sep 7, 2022, 11:30 AM",,. until .,14195 Berlin,VM_22215_VOB_O_Schu,KKE 32013 Erweiterte Rohbauarbeiten RA1,14195 Berlin,. until .,"Aug 7, 2022 until Sep 7, 2022",,"Oct 24, 2022","Aug 30, 2022, 9:00 AM",14229E70001,"FUC2-FU Berlin, Grundsanierung Institut f\xc3\xbcr Chemie 2.BA","Senatsverwaltung f\xc3\xbcr Stadtentwicklung, Bauen und Wohnen",Fehrbelliner Platz 2\n10707 Berlin,vergabe-hochbau@senstadt.berlin.de,There is no further information avaiable.
401383,2022-436 Baumpflanzungen Safranberg-Leimgrubenweg,"Stadt Ulm, Zentrale Vergabestelle VOB",05.08.2022,"Aug 5, 2022 until Sep 5, 2022","Sep 5, 2022, 10:00 AM",,KW 41 - 2022 until KW 48 - 2022,89075 Ulm,2022-436,Baumpflanzungen Safranberg-Leimgrubenweg,89075 Ulm,KW 41 - 2022 until KW 48 - 2022,"Aug 5, 2022 until Sep 5, 2022","Sep 5, 2022, 10:00 AM","Oct 5, 2022","Aug 29, 2022, 10:00 AM",2022VGV-13,Erschlie\xc3\x9fung Safranberg,"Stadt Ulm, Zentrale Vergabestelle VOB",M\xc3\xbcnchner Str. 1\n89073 Ulm,vergabe-zvob@ulm.de,"39 Baumstandorte in Baumquartieren, Baumbeeten, Rasen- und Wiesenfl\xc3\xa4chen mit StU 18-20 / 20-25 / 25-30.Erdarbeiten, das Errichten von B\xc3\xa4nken und Sitzsteinen mit befestigten Fl\xc3\xa4chen und PflanzarbeitenBegr\xc3\xbcnung stra\xc3\x9fenbegleitender Gr\xc3\xbcnstreifen und das Anlegen einer zusammenh\xc3\xa4ngenden Wiese."
